nu[1/cm],I[MJy/sr],Error[kJy/sr]
2.270,200.723,14
2.720,249.508,19
3.180,293.024,25
3.630,327.770,23
4.080,354.081,22
4.540,372.079,21
4.990,381.493,18
5.450,383.478,18
5.900,378.901,16
6.350,368.833,14
6.810,354.063,13
7.260,336.278,12
7.710,316.076,11
8.170,293.924,10
8.620,271.432,11
9.080,248.239,12
9.530,225.940,14
9.980,204.327,16
10.440,183.262,18
10.890,163.830,22
11.340,145.750,22
11.800,128.835,23
12.250,113.568,23
12.710,99.451,23
13.160,87.036,22
13.610,75.876,21
14.070,65.766,20
14.520,57.008,19
14.970,49.223,19
15.430,42.267,19
15.880,36.352,21
16.340,31.062,23
16.790,26.580,26
17.240,22.644,28
17.700,19.255,30
18.150,16.391,32
18.610,13.811,33
19.060,11.716,35
19.510,9.921,41
19.970,8.364,55
20.420,7.087,88
20.870,5.801,155
21.330,4.523,282
