nucleus,Ealpha,tau_half,tau_units
Po206,5.22,8.8,day
Po208,5.11,2.9,year
Po210,5.31,138.0,day
Po212,8.78,0.3,microsecond
Po214,7.68,164.0,microsecond
Po216,6.78,0.15,second
U228,6.69,9.1,month
U230,5.89,20.8,day
U232,5.32,72.0,year
U234,4.77,247000.0,year
U236,4.49,23900000.0,year
U238,4.2,4510000000.0,year
Pu238,5.5,86.0,year
Pu240,5.17,6580.0,year
Pu242,4.9,379000.0,year
Pu244,4.66,80000000.0,year
Cm240,6.29,26.8,day
Cm242,6.12,163.0,day
Cm244,5.8,17.6,year
Cm246,5.39,5500.0,year
